NCLDV_gene	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Allomyces_macrogynus_ATCC_38327	Anaeromyces_robustus_v1.0	Batrachochytrium_dendrobatidis_JAM81_v1.0	Blastocladiella_britannica_v1.0	Blyttiomyces_helicus_single-cell_v1.0	Blyttiomyces_sp._JEL0837	Boothiomyces_macroporosum_PLAUS21	Boothiomyces_sp._JEL0838	Boothiomyces_sp._JEL0866	Borealophlyctis_nickersoniae_WJD170	Catenaria_anguillulae_PL171_v2.0	Caulochytrium_protostelioides_ATCC_52028_v1.0	Chytridium_lagenaria_Arg66_v1.0	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Chytriomyces_hyalinus_JEL632_v1.0	Chytriomyces_sp._MP_71_v1.0	Cladochytrium_polystomum_WB228_v1.0	Cladochytrium_replicatum_JEL714_v1.0	Cladochytrium_tenue_CCIBt4013	Clydaea_vesicula_JEL0476	Coelomomyces_lativittatus_CIRM-AVA-1-Amber	Coelomomyces_lativittatus_CIRM-AVA-1-Meiospore	Coelomomyces_lativittatus_CIRM-AVA-1-Orange	Dinochytrium_kinnereticum_KLL_TL_06062013	Entophlyctis_helioformis_JEL805_v1.0	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp._JEL0112	Fimicolochytrium_jonesii_JEL569_v1.0	Gaertneriomyces_semiglobifer_Barr_43_v1.0	Gaertneriomyces_sp._JEL0708	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Geranomyces_variabilis_JEL559_v1.0	Globomyces_pollinis-pini_Arg68_v1.0	Gonapodya_prolifera_v1.0	Gonapodya_sp._JEL0774	Gorgonomyces_haynaldii_MP57_v1.0	Homolaphlyctis_polyrhiza_JEL142_v1.0	Hyaloraphidium_curvatum_SAG235-1_v1.0	Irineochytrium_annulatum_JEL0729	Kappamyces_sp._JEL0680	Kappamyces_sp._JEL0829	Lobulomyces_angularis_JEL0522	Neocallimastix_californiae_G1_v1.0	Nowakowskiella_sp._JEL0078	Nowakowskiella_sp._JEL0407	Obelidium_mucronatum_JEL802_v1.0	Paraphysoderma_sedebokerense_JEL821_v1.0	Pecoramyces_ruminatium_C1A	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	Piromyces_finnis_v3.0	Piromyces_sp._E2_v1.0	Podochytrium_sp._JEL0797	Polychytrium_aggregatum_JEL109_v1.0	Powellomyces_hirtus_BR81_v1.0	Quaeritorhiza_haematococci_JEL0916	Rhizoclosmatium_globosum_JEL800_v1.0	Rhizoclosmatium_hyalinum_JEL0917	Rhizoclosmatium_sp._JEL0117	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Siphonaria_sp._JEL0065	Spizellomyces_punctatus_DAOM_BR117	Terramyces_sp._JEL0728	Thoreauomyces_humboldtii_JEL0095	Triparticalcar_arcticum_BR59_v1.0	Unknown_Chytridiales_sp._JEL0842	Unknown_Rhizophydiales_sp._JEL0801	Unknown_unknown_JEL0888
capsid	scaffold_22_80 scaffold_22:93701..94939(-)	NOLOC-scaffold_389_3					NODE_485_5 NODE_485:4803..6023(-)						scaffold_116_71 scaffold_116:59860..61101(+)				scaffold_292_25 scaffold_292:23135..24175(+)		scaffold_569_2 scaffold_569:1252..2625(-)	NOLOC-scaffold_136_55														NOLOC-scaffold_7_859	NOLOC-scaffold_8_2									NOLOC-scaffold_176_10	scaffold_3111_1 scaffold_3111:250..1461(-)																			NOLOC-scaffold_141_50	scaffold_102_24 scaffold_102:19122..20351(-)		NOLOC-scaffold_1025_1					scaffold_768_5 scaffold_768:5617..6807(+)	NOLOC-scaffold_375_8							
capsid-polinto	scaffold_22_80 scaffold_22:93701..94939(-)	NOLOC-scaffold_389_3					NODE_485_5 NODE_485:4803..6023(-)						scaffold_116_71 scaffold_116:59860..61101(+)				scaffold_292_25 scaffold_292:23135..24175(+)		scaffold_569_2 scaffold_569:1252..2625(-)	NOLOC-scaffold_136_55														NOLOC-scaffold_7_859										NOLOC-scaffold_176_10	scaffold_3111_1 scaffold_3111:250..1461(-)																			NOLOC-scaffold_141_50	scaffold_102_24 scaffold_102:19122..20351(-)		NOLOC-scaffold_874_8					scaffold_768_5 scaffold_768:5617..6807(+)	NOLOC-scaffold_375_7							
dnapol	scaffold_5_537 scaffold_5:509015..511822(-)	NOLOC-scaffold_14_79	NOLOC-Supercontig_31_629	NOLOC-scaffold_37_161	scaffold_1_4244 scaffold_1:3982187..3982639(-)	NOLOC-scaffold_183_12	NODE_603_12 NODE_603:7378..11055(-)	scaffold_105_16 scaffold_105:6939..7646(+)	scaffold_65_79 scaffold_65:63428..64282(-)	scaffold_25_26 scaffold_25:19006..19860(+)	NOLOC-scaffold_80_39	scaffold_323_11 scaffold_323:13849..14250(+)	scaffold_4_781 scaffold_4:586213..589551(-)	NOLOC-scaffold_116_4	scaffold_1_359 scaffold_1:247242..247526(-)	NOLOC-scaffold_146_18	scaffold_142_58 scaffold_142:45186..45680(+)	scaffold_81_68 scaffold_81:49941..50435(+)	scaffold_37_76 scaffold_37:57928..58422(+)	NOLOC-scaffold_136_45	scaffold_45_5 scaffold_45:4312..5163(-)	NOLOC-scaffold_175_142	scaffold_25_203 scaffold_25:210644..211276(-)	scaffold_1241_7 scaffold_1241:3013..3360(+)	scaffold_106_26 scaffold_106:29856..32063(+)	scaffold_1995_3 scaffold_1995:2323..4836(+)	scaffold_881_5 scaffold_881:2958..5471(+)	scaffold_1273_1 scaffold_1273:3..1367(-)	scaffold_2_124 scaffold_2:98132..98629(+)	NOLOC-scaffold_142_35	NOLOC-scaffold_210_12	NOLOC-scaffold_91_41	NOLOC-scaffold_150_20	NOLOC-scaffold_2_2259	NOLOC-scaffold_3_1253	scaffold_1_1649 scaffold_1:1605840..1608545(+)	scaffold_65_58 scaffold_65:42045..43295(+)	scaffold_33_130 scaffold_33:116449..117720(-)	scaffold_22_441 scaffold_22:373461..374597(+)	scaffold_11_321 scaffold_11:255503..256639(+)	NOLOC-scaffold_65_72	scaffold_100_27 scaffold_100:18523..19659(-)	scaffold_85_74 scaffold_85:50873..51172(-)	NOLOC-scaffold_220_8	scaffold_2085_1 scaffold_2085:1..2031(-)	NOLOC-scaffold_21_60	scaffold_652_11 scaffold_652:5746..6168(-)	scaffold_11_392 scaffold_11:438662..440053(-)	NOLOC-scaffold_1999_2	NOLOC-scaffold_445_2	scaffold_2_216 scaffold_2:183729..184595(+)	NOLOC-scaffold_69_33	NOLOC-scaffold_212_63	NOLOC-scaffold_7918_1	NOLOC-scaffold_557_14	NOLOC-scaffold_11_635	scaffold_57_28 scaffold_57:19114..19632(+)	NOLOC-c_7180000067458_1	scaffold_44_75 scaffold_44:65948..66358(-)	scaffold_5_43 scaffold_5:26664..27107(-)	scaffold_6155_2 scaffold_6155:240..1028(-)	scaffold_21_252 scaffold_21:435595..437907(-)	scaffold_125_44 scaffold_125:86148..88445(-)	NOLOC-scaffold_795_2	scaffold_269_18 scaffold_269:28586..31546(+)	scaffold_21_87 scaffold_21:70125..73466(+)	NOLOC-scaffold_3038_2	scaffold_175_9 scaffold_175:4388..4969(-)	scaffold_51_8 scaffold_51:9110..11449(+)	NOLOC-scaffold_164_40	scaffold_56_59 scaffold_56:38998..39357(+)	scaffold_13_103 scaffold_13:79531..81336(-)	NOLOC-scaffold_527_12	Supercontig_4_461 Supercontig_4:379540..380676(-)	NOLOC-scaffold_21_3	NOLOC-scaffold_158_21	scaffold_10_100 scaffold_10:101942..103279(+)	NOLOC-scaffold_262_9	NOLOC-scaffold_206_13	NOLOC-scaffold_1325_4
pATPase	scaffold_22_248 scaffold_22:315723..316583(-)	NOLOC-scaffold_37_130	NOLOC-Supercontig_66_4	NOLOC-scaffold_2_94			NODE_28_5 NODE_28:3222..4094(-)			scaffold_149_2 scaffold_149:652..1443(-)	NOLOC-scaffold_140_2	scaffold_2904_3 scaffold_2904:1672..2391(-)					scaffold_292_24 scaffold_292:22453..22806(-)	scaffold_18_2 scaffold_18:403..678(-)	scaffold_476_2 scaffold_476:965..1852(+)															NOLOC-scaffold_13_680	NOLOC-scaffold_31_150	scaffold_126_4 scaffold_126:2531..3253(-)		scaffold_173_3 scaffold_173:1509..2306(+)	scaffold_78_17 scaffold_78:16955..17629(+)	scaffold_134_5 scaffold_134:2559..3293(+)	NOLOC-scaffold_3_649	scaffold_7_488 scaffold_7:434803..435420(-)		NOLOC-scaffold_256_8	scaffold_1475_4 scaffold_1475:1767..2591(+)			scaffold_35_100 scaffold_35:110060..110842(+)					NOLOC-scaffold_74_185									scaffold_17_161 scaffold_17:212615..213475(+)	scaffold_95_73 scaffold_95:108961..109821(+)		scaffold_185_4 scaffold_185:5801..6727(-)	scaffold_8_816 scaffold_8:764762..765472(-)					scaffold_1201_3 scaffold_1201:1489..2181(-)	scaffold_697_5 scaffold_697:2715..3434(+)		Supercontig_2_206 Supercontig_2:182645..183271(+)	NOLOC-scaffold_97_10	NOLOC-scaffold_644_2	scaffold_10_30 scaffold_10:28931..29650(+)			
pATPase-polinto	scaffold_22_248 scaffold_22:315723..316583(-)	NOLOC-scaffold_37_130	NOLOC-Supercontig_1_138	NOLOC-scaffold_2_94			NODE_28_5 NODE_28:3222..4094(-)			scaffold_149_2 scaffold_149:652..1443(-)	NOLOC-scaffold_140_2	scaffold_2026_4 scaffold_2026:2735..3457(+)					scaffold_292_24 scaffold_292:22453..22806(-)	scaffold_18_2 scaffold_18:403..678(-)	scaffold_476_2 scaffold_476:965..1852(+)															NOLOC-scaffold_47_11	NOLOC-scaffold_31_150	scaffold_126_4 scaffold_126:2531..3253(-)		scaffold_173_3 scaffold_173:1509..2306(+)	scaffold_87_5 scaffold_87:2556..3290(-)	scaffold_118_7 scaffold_118:3919..4653(-)	NOLOC-scaffold_3_649	scaffold_7_488 scaffold_7:434803..435420(-)		NOLOC-scaffold_256_8	scaffold_1475_4 scaffold_1475:1767..2591(+)			scaffold_35_100 scaffold_35:110060..110842(+)					NOLOC-scaffold_74_185				scaffold_16_99 scaffold_16:97008..103994(+)					scaffold_17_161 scaffold_17:212615..213475(+)	scaffold_95_73 scaffold_95:108961..109821(+)		scaffold_185_4 scaffold_185:5801..6727(-)	scaffold_8_816 scaffold_8:764762..765472(-)					scaffold_3211_2 scaffold_3211:352..1044(+)	scaffold_697_5 scaffold_697:2715..3434(+)		Supercontig_2_206 Supercontig_2:182645..183271(+)	NOLOC-scaffold_97_10	NOLOC-scaffold_644_2	scaffold_45_37 scaffold_45:34458..35168(-)			
primase	scaffold_22_124 scaffold_22:160589..163867(+)	NOLOC-scaffold_407_2	NOLOC-Supercontig_11_622	NOLOC-scaffold_182_7			NODE_1739_2 NODE_1739:1511..2821(+)	scaffold_2834_2 scaffold_2834:1499..2563(-)	scaffold_239_1 scaffold_239:12..1097(-)	scaffold_167_6 scaffold_167:2463..4139(-)	NOLOC-scaffold_140_14	scaffold_1290_6 scaffold_1290:6522..9251(+)	scaffold_116_24 scaffold_116:24701..25705(+)	NOLOC-scaffold_213_18			scaffold_114_54 scaffold_114:52531..54798(+)	scaffold_291_8 scaffold_291:4281..5156(-)	scaffold_258_8 scaffold_258:9221..11896(-)	NOLOC-scaffold_144_33		NOLOC-scaffold_344_75			scaffold_106_1 scaffold_106:168..1808(+)	scaffold_4512_1 scaffold_4512:10..906(-)	scaffold_2332_1 scaffold_2332:51..872(-)	scaffold_4675_1 scaffold_4675:2..1015(+)	scaffold_1011_5 scaffold_1011:3707..4048(-)			NOLOC-scaffold_520_8	NOLOC-scaffold_848_2	NOLOC-scaffold_2_2649	NOLOC-scaffold_61_13	scaffold_62_12 scaffold_62:12012..14183(-)	scaffold_119_21 scaffold_119:23519..26650(+)	scaffold_155_2 scaffold_155:144..2864(-)	scaffold_126_2 scaffold_126:497..3019(-)	scaffold_114_3 scaffold_114:1860..3641(-)	NOLOC-scaffold_29_277	scaffold_147_7 scaffold_147:5676..8873(-)	scaffold_245_22 scaffold_245:17175..17462(+)	NOLOC-scaffold_41_187	scaffold_2124_1 scaffold_2124:1..1704(+)			scaffold_23_62 scaffold_23:66183..68588(+)			scaffold_245_1 scaffold_245:1..1209(-)	NOLOC-scaffold_69_34	NOLOC-scaffold_56_243	NOLOC-scaffold_241_5			scaffold_46_2 scaffold_46:3116..3355(-)	NOLOC-d_7180000084879_1	scaffold_326_41 scaffold_326:31651..32469(-)		scaffold_3824_2 scaffold_3824:551..1606(-)	scaffold_89_55 scaffold_89:109916..111715(-)	scaffold_23_165 scaffold_23:267795..269528(+)	NOLOC-scaffold_145_27	scaffold_419_2 scaffold_419:1018..2274(+)	scaffold_3_352 scaffold_3:304619..307390(+)	NOLOC-scaffold_1645_5	scaffold_385_10 scaffold_385:6403..8343(+)	scaffold_858_1 scaffold_858:1..2214(+)	NOLOC-scaffold_971_3	scaffold_284_16 scaffold_284:9293..12181(+)	scaffold_947_1 scaffold_947:3..3311(+)	NOLOC-scaffold_677_24	Supercontig_21_370 Supercontig_21:321608..324109(+)		NOLOC-scaffold_197_17	scaffold_13_407 scaffold_13:345112..346554(-)			
rnapol1	scaffold_4_349 scaffold_4:366700..371829(-)	NOLOC-scaffold_289_10	NOLOC-Supercontig_21_438	NOLOC-scaffold_238_4	scaffold_3_507 scaffold_3:538304..543088(-)	NOLOC-scaffold_153_8	NODE_28_24 NODE_28:23335..26457(+)	scaffold_1952_4 scaffold_1952:1490..3487(-)	scaffold_34_28 scaffold_34:25391..29779(-)	scaffold_105_34 scaffold_105:23010..27398(-)	NOLOC-scaffold_77_30	scaffold_379_1 scaffold_379:633..4961(-)	scaffold_6_375 scaffold_6:333373..335541(-)	NOLOC-scaffold_162_5	scaffold_119_13 scaffold_119:7096..9354(-)	NOLOC-scaffold_54_40	scaffold_149_5 scaffold_149:3023..5377(-)	scaffold_91_69 scaffold_91:48066..50420(+)	scaffold_258_14 scaffold_258:15463..21363(-)	NOLOC-scaffold_144_12	scaffold_450_35 scaffold_450:22706..25003(+)	NOLOC-scaffold_51_200	scaffold_74_179 scaffold_74:150978..153335(-)	scaffold_8743_3 scaffold_8743:817..1875(+)	scaffold_294_17 scaffold_294:14775..16541(-)	scaffold_1387_3 scaffold_1387:1129..6120(+)	scaffold_119_3 scaffold_119:1127..6118(+)	scaffold_233_5 scaffold_233:5667..9473(+)	scaffold_68_38 scaffold_68:27420..29816(-)	NOLOC-scaffold_17_76	NOLOC-scaffold_628_7	NOLOC-scaffold_12_206	NOLOC-scaffold_28_22	NOLOC-scaffold_7_673	NOLOC-scaffold_20_83	scaffold_23_270 scaffold_23:248084..253084(-)	scaffold_92_49 scaffold_92:34061..38056(-)	scaffold_80_99 scaffold_80:78726..82712(+)	scaffold_7_720 scaffold_7:601452..605954(+)	scaffold_9_760 scaffold_9:603759..607742(+)	NOLOC-scaffold_6_23	scaffold_32_284 scaffold_32:212587..216558(+)	scaffold_66_16 scaffold_66:12947..14809(-)	NOLOC-scaffold_199_15	scaffold_3011_1 scaffold_3011:3..1520(+)	NOLOC-scaffold_4_484	scaffold_445_10 scaffold_445:8523..13706(-)	scaffold_13_266 scaffold_13:247794..250316(-)	NOLOC-scaffold_460_13	NOLOC-scaffold_127_9	scaffold_212_4 scaffold_212:1618..5958(+)	NOLOC-scaffold_69_26	NOLOC-scaffold_24_444	NOLOC-scaffold_83_3	NOLOC-scaffold_1045_2	NOLOC-scaffold_220_52	scaffold_4_408 scaffold_4:378192..382370(+)	NOLOC-d_7180000063535_1	scaffold_560_19 scaffold_560:12768..15173(-)	scaffold_18_121 scaffold_18:96983..99445(+)	scaffold_74_4 scaffold_74:2030..4549(-)	scaffold_16_104 scaffold_16:164976..169550(+)	scaffold_303_36 scaffold_303:72396..76907(+)	NOLOC-scaffold_133_22	scaffold_118_104 scaffold_118:60093..64412(+)	scaffold_15_19 scaffold_15:18234..22730(-)	NOLOC-scaffold_493_15	scaffold_33_133 scaffold_33:108627..109841(+)	scaffold_3927_1 scaffold_3927:2..1291(-)	NOLOC-scaffold_150_12	scaffold_83_40 scaffold_83:33469..37701(+)	scaffold_445_14 scaffold_445:10517..14722(-)	NOLOC-scaffold_824_12	Supercontig_1_1225 Supercontig_1:1010956..1015311(-)	NOLOC-scaffold_60_52	NOLOC-scaffold_1009_6	scaffold_16_444 scaffold_16:367295..372169(+)	NOLOC-scaffold_91_26	NOLOC-scaffold_22_113	NOLOC-scaffold_356_7
rnapol2	scaffold_22_202 scaffold_22:256285..259572(+)	NOLOC-scaffold_37_88	NOLOC-Supercontig_4_1545	NOLOC-scaffold_238_59	scaffold_3_175 scaffold_3:186891..190775(+)	NOLOC-scaffold_220_2	NODE_5382_1 NODE_5382:42..3077(+)	scaffold_277_27 scaffold_277:19457..20449(-)	scaffold_95_48 scaffold_95:43580..46237(+)	scaffold_33_123 scaffold_33:111688..114036(+)	NOLOC-scaffold_49_17	scaffold_1170_10 scaffold_1170:6307..7569(-)	scaffold_6_577 scaffold_6:473532..476846(-)	NOLOC-scaffold_37_7	scaffold_19_210 scaffold_19:130789..131412(+)	NOLOC-scaffold_10_31	scaffold_220_40 scaffold_220:23791..24546(+)	scaffold_286_2 scaffold_286:998..1753(-)	scaffold_69_20 scaffold_69:16702..17511(-)	NOLOC-scaffold_22_373	scaffold_7_244 scaffold_7:172811..174238(-)	NOLOC-scaffold_21_292	scaffold_39_373 scaffold_39:323712..324530(+)	scaffold_1165_9 scaffold_1165:3468..4907(+)	scaffold_134_26 scaffold_134:21722..22882(-)	scaffold_411_6 scaffold_411:5270..9964(+)	scaffold_920_2 scaffold_920:2388..7055(-)	scaffold_166_2 scaffold_166:2768..8608(-)	scaffold_217_21 scaffold_217:20325..21236(-)	NOLOC-scaffold_326_15	NOLOC-scaffold_34_9	NOLOC-scaffold_1_173	NOLOC-scaffold_1_122	NOLOC-scaffold_29_63	NOLOC-scaffold_15_394	scaffold_46_30 scaffold_46:33562..36846(-)	scaffold_110_30 scaffold_110:33363..36512(+)	scaffold_54_91 scaffold_54:74813..75991(-)	scaffold_5_244 scaffold_5:200705..201883(-)	scaffold_9_540 scaffold_9:426740..428290(+)	NOLOC-scaffold_6_221	scaffold_32_53 scaffold_32:36026..37204(+)	scaffold_5_213 scaffold_5:171148..172353(+)	NOLOC-scaffold_3_323	scaffold_12_287 scaffold_12:209277..210470(+)	NOLOC-scaffold_4_84	scaffold_199_13 scaffold_199:9549..10145(+)	scaffold_19_269 scaffold_19:268771..271452(-)	NOLOC-scaffold_388_10	NOLOC-scaffold_316_3	scaffold_112_25 scaffold_112:17290..18729(-)	NOLOC-scaffold_178_34	NOLOC-scaffold_21_324	NOLOC-scaffold_3435_3	NOLOC-scaffold_10_146	NOLOC-scaffold_2_472	scaffold_61_30 scaffold_61:34860..35759(+)	NOLOC-c_7180000073388_7	scaffold_192_19 scaffold_192:9402..10463(-)	scaffold_59_138 scaffold_59:96037..96975(-)	scaffold_663_6 scaffold_663:6022..6813(-)	scaffold_26_140 scaffold_26:195832..197439(-)	scaffold_603_8 scaffold_603:10537..12144(+)	NOLOC-scaffold_142_14	scaffold_11_734 scaffold_11:511283..512194(+)	scaffold_17_555 scaffold_17:481091..483349(+)	NOLOC-scaffold_216_8	scaffold_21_56 scaffold_21:43461..44837(+)	scaffold_587_6 scaffold_587:3961..4770(-)	NOLOC-scaffold_38_51	scaffold_2087_1 scaffold_2087:2..1171(-)	scaffold_6_365 scaffold_6:280760..281710(+)	NOLOC-scaffold_330_20	Supercontig_3_1749 Supercontig_3:1427276..1428286(+)	NOLOC-scaffold_64_18	NOLOC-scaffold_257_20	scaffold_46_61 scaffold_46:55484..60130(-)	NOLOC-scaffold_244_31	NOLOC-scaffold_11_22	NOLOC-scaffold_918_3
tf2s	scaffold_22_176 scaffold_22:226225..226719(+)	NOLOC-scaffold_3_279	NOLOC-Supercontig_4_896	NOLOC-scaffold_208_16	scaffold_13_707 scaffold_13:669168..669347(+)	NOLOC-scaffold_998_4	NODE_603_6 NODE_603:3414..3899(-)	scaffold_1497_11 scaffold_1497:5449..5634(+)	scaffold_59_8 scaffold_59:8386..8607(+)	scaffold_81_7 scaffold_81:8445..8666(+)	NOLOC-scaffold_80_29	scaffold_1877_10 scaffold_1877:4315..4668(+)	scaffold_11_547 scaffold_11:459856..460263(+)	NOLOC-scaffold_9_12	scaffold_21_83 scaffold_21:51548..51748(+)				scaffold_7_148 scaffold_7:123227..123457(-)	NOLOC-scaffold_10_571	scaffold_24_34 scaffold_24:31363..31641(-)	NOLOC-scaffold_29_583	scaffold_15_736 scaffold_15:643772..644131(+)	scaffold_4874_2 scaffold_4874:1217..1519(-)	scaffold_641_6 scaffold_641:5893..6012(-)	scaffold_5464_1 scaffold_5464:51..1127(-)	scaffold_888_2 scaffold_888:3169..4245(+)	scaffold_3616_1 scaffold_3616:250..1326(+)	scaffold_17_25 scaffold_17:18095..18865(+)	NOLOC-scaffold_1_592			NOLOC-scaffold_453_10	NOLOC-scaffold_36_160	NOLOC-scaffold_2_1141	scaffold_15_326 scaffold_15:308876..309286(+)			scaffold_24_501 scaffold_24:403535..403765(+)	scaffold_29_209 scaffold_29:178046..178324(-)	NOLOC-scaffold_8_197	scaffold_9_182 scaffold_9:149379..149708(+)	scaffold_60_74 scaffold_60:54788..54952(+)	NOLOC-scaffold_193_13	scaffold_167_3 scaffold_167:1111..1530(+)	NOLOC-scaffold_8_286		scaffold_7_347 scaffold_7:309204..309446(-)	NOLOC-scaffold_931_7	NOLOC-scaffold_36_22	scaffold_18_34 scaffold_18:21470..21727(+)	NOLOC-scaffold_22_74	NOLOC-scaffold_142_131	NOLOC-scaffold_2493_7	NOLOC-scaffold_87_90	NOLOC-scaffold_35_199		NOLOC-c_7180000066390_2		scaffold_55_86 scaffold_55:62831..63097(-)		scaffold_89_61 scaffold_89:122199..122447(+)	scaffold_106_104 scaffold_106:141344..141547(+)	NOLOC-scaffold_194_25	scaffold_380_35 scaffold_380:17510..17785(-)		NOLOC-scaffold_210_27	scaffold_10_593 scaffold_10:410855..411070(-)	scaffold_3713_2 scaffold_3713:801..1016(-)	NOLOC-scaffold_136_24	scaffold_2_65 scaffold_2:53314..53499(-)		NOLOC-scaffold_121_35	Supercontig_4_987 Supercontig_4:841823..842293(+)	NOLOC-scaffold_270_5	NOLOC-scaffold_392_32		NOLOC-scaffold_27_157	NOLOC-scaffold_43_56	NOLOC-scaffold_873_9
vltf3	scaffold_22_201 scaffold_22:254987..256225(+)	NOLOC-scaffold_37_87					NODE_90_15 NODE_90:21795..23126(+)												scaffold_98_36 scaffold_98:42804..44138(+)			NOLOC-scaffold_340_1																						NOLOC-scaffold_198_12	scaffold_2895_2 scaffold_2895:271..861(+)																			NOLOC-scaffold_194_24	scaffold_185_5 scaffold_185:6797..8095(+)		NOLOC-scaffold_5184_2													
